se,g,l,a,p,d,v
0.5102040816,1714000,place,HDSZR,W,2016,22.3
0.5357142857,1714000,place,HDSZR,W,2014,24.8
0.5102040816,1714000,place,HDSZR,W,2013,23.4
0.5357142857,1714000,place,HDSZR,W,2012,24.2
0.5867346939,1714000,place,HDSZR,W,2011,28.6
0.5612244898,1714000,place,HDSZR,W,2010,28.1
1.0204081633,1714000,place,HDSZR,B,2017,89.2
1.0204081633,1714000,place,HDSZR,B,2016,91.0
0.9948979592,1714000,place,HDSZR,B,2014,83.9
0.9948979592,1714000,place,HDSZR,B,2013,86.7
1.0714285714,1714000,place,HDSZR,B,2012,93.6
1.0969387755,1714000,place,HDSZR,B,2011,101.4
1.1479591837,1714000,place,HDSZR,B,2010,111.7
1.3265306122,1714000,place,HDSZR,AP,2017,25.5
1.3775510204,1714000,place,HDSZR,AP,2016,26.9
1.2755102041,1714000,place,HDSZR,AP,2014,23.7
1.1224489796,1714000,place,HDSZR,AP,2013,17.8
1.1224489796,1714000,place,HDSZR,AP,2012,17.8
0.9183673469,1714000,place,HDSZR,AP,2011,11.6
0.8418367347,1714000,place,HDSZR,AP,2010,9.8
0.5102040816,1714000,place,HDSZR,H,2017,16.5
0.5357142857,1714000,place,HDSZR,H,2016,17.4
0.5102040816,1714000,place,HDSZR,H,2014,15.5
0.5357142857,1714000,place,HDSZR,H,2013,16.0
0.5102040816,1714000,place,HDSZR,H,2012,14.7
0.5102040816,1714000,place,HDSZR,H,2011,16.7
0.5357142857,1714000,place,HDSZR,H,2010,16.3
0.2040816327,1714000,place,HDSZR,C,2017,2.5
0.2040816327,1714000,place,HDSZR,C,2016,2.6
0.2295918367,1714000,place,HDSZR,C,2014,3.5
0.2551020408,1714000,place,HDSZR,C,2013,3.7
0.2551020408,1714000,place,HDSZR,C,2012,4.4
0.2806122449,1714000,place,HDSZR,C,2011,5.1
0.2806122449,1714000,place,HDSZR,C,2010,4.9
0.9183673469,1714000,place,HDSZR,G,2017,46.9
0.8673469388,1714000,place,HDSZR,G,2016,43.8
0.7908163265,1714000,place,HDSZR,G,2014,38.0
0.8163265306,1714000,place,HDSZR,G,2013,36.6
0.8163265306,1714000,place,HDSZR,G,2012,39.5
0.8673469388,1714000,place,HDSZR,G,2011,43.0
0.8673469388,1714000,place,HDSZR,G,2010,43.6
0.943877551,1714000,place,HDSZR,K,2017,56.8
0.9693877551,1714000,place,HDSZR,K,2016,59.5
0.9693877551,1714000,place,HDSZR,K,2014,57.7
0.9693877551,1714000,place,HDSZR,K,2013,58.3
0.9948979592,1714000,place,HDSZR,K,2012,63.6
1.0714285714,1714000,place,HDSZR,K,2011,71.7
1.0969387755,1714000,place,HDSZR,K,2010,74.3
1.1989795918,1714000,place,HDSZR,N,2017,88.7
1.2244897959,1714000,place,HDSZR,N,2016,91.6
1.25,1714000,place,HDSZR,N,2014,94.0
1.2244897959,1714000,place,HDSZR,N,2013,91.9
1.3010204082,1714000,place,HDSZR,N,2012,99.1
1.3520408163,1714000,place,HDSZR,N,2011,110.2
1.3520408163,1714000,place,HDSZR,N,2010,111.8
1.0459183673,1714000,place,HDSZR,S,2017,29.8
1.0204081633,1714000,place,HDSZR,S,2016,29.4
1.0204081633,1714000,place,HDSZR,S,2014,28.3
1.0204081633,1714000,place,HDSZR,S,2013,28.9
1.0204081633,1714000,place,HDSZR,S,2012,29.1
1.0459183673,1714000,place,HDSZR,S,2011,31.3
1.0969387755,1714000,place,HDSZR,S,2010,33.0
